ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
112;221;112;Dustin Moskovitz;16,5;40;2024-05-31
113;91;113;Lakshmi Mittal;16,4;73;2024-05-31
114;67;114;James Ratcliffe;16,4;71;2024-05-31
115;107;115;Jorge Paulo Lemann  ;16,2;84;2024-05-31
116;233;116;Andreas von Bechtolsheim  ;16,2;68;2024-05-31
117;136;117;Stanley Kroenke;16,2;76;2024-05-31
118;229;118;Ravi Jaipuria;16,1;69;2024-05-31
119;129;119;Jan Koum;15,9;48;2024-05-31
120;105;120;Karl Albrecht jr  ;15,8;76;2024-05-31
121;106;120;Beate Heister;15,8;73;2024-05-31
122;145;122;Pavel Durov;15,5;39;2024-05-31
123;81;123;Ray Dalio;15,4;74;2024-05-31
124;2616;124;Philip Anschutz;15,1;84;2024-05-31
125;131;125;George Kaiser;15;81;2024-05-31
126;100;126;Li Xiting;14,9;73;2024-05-31
127;173;127;Christy Walton;14,7;75;2024-05-31
128;180;128;Nicolas Puech;14,6;81;2024-05-31
129;227;129;Leon Black;14,6;72;2024-05-31
130;210;130;David Cheriton;14,4;73;2024-05-31
131;116;131;Charlene de Carvalho-Heineken  ;14,4;69;2024-05-31
132;187;132;Lei Jun;14,4;54;2024-05-31
133;130;133;Jerry Jones;14,4;81;2024-05-31
134;82;134;Eric Li;14,3;61;2024-05-31
135;282;135;Henry Samueli;14,2;69;2024-05-31
136;114;136;David Green  ;14,1;82;2024-05-31
137;98;137;Theo Albrecht jr  ;14;73;2024-05-31
138;139;138;Dang Yanbao;13,8;51;2024-05-31
139;142;139;Laurene Powell Jobs  ;13,7;60;2024-05-31
140;122;140;Aliko Dangote;13,6;67;2024-05-31
141;119;141;Alisher Usmanov;13,6;70;2024-05-31
142;133;142;Lu Xiangyang;13,6;61;2024-05-31
143;75;143;Wang Wei;13,6;53;2024-05-31
144;108;144;Peter Woo;13,5;77;2024-05-31
145;202;145;James Dyson;13,4;77;2024-05-31
146;137;146;Mikhail Fridman;13,3;60;2024-05-31
147;169;147;Jeffery Hildebrand;13,3;65;2024-05-31
148;77;148;Leonard Lauder;13,2;91;2024-05-31
149;219;149;John Doerr;13,2;72;2024-05-31
150;132;150;Joseph Lau;13,2;72;2024-05-31
151;247;151;George Roberts;13,1;80;2024-05-31
152;112;152;Huang Shilin;13,1;57;2024-05-31
153;113;153;Dhanin Chearavanont;13;85;2024-05-31
154;135;154;Uday Kotak;12,8;65;2024-05-31
155;159;155;Ricardo Salinas Pliego  ;12,7;68;2024-05-31
156;270;156;Georg Stumpf;12,6;51;2024-05-31
157;240;157;Zheng Shuliang  ;12,6;78;2024-05-31
158;308;158;Anders Holch Povlsen;12,5;51;2024-05-31
159;150;159;Israel Englander;12,4;75;2024-05-31
160;118;160;Wei Jianjun  ;12,3;60;2024-05-31
161;620;161;Mangal Prabhat Lodha;12,1;68;2024-05-31
162;157;162;Zhang Zhidong;12,1;52;2024-05-31
163;381;163;Henry Nicholas III.;12;64;2024-05-31
164;141;164;Shahid Khan;12;73;2024-05-31
165;154;165;Giorgio Armani;12;89;2024-05-31
166;297;166;Henry Kravis;12;80;2024-05-31
167;143;167;Robert Kuok;12;100;2024-05-31
168;2628;168;Edward Johnson IV.;11,9;59;2024-05-31
169;168;169;David Duffield;11,8;83;2024-05-31
170;510;170;Barry Lam;11,8;75;2024-05-31
171;155;171;Johann Rupert  ;11,8;74;2024-05-31
172;123;172;Kwong Siu-hing;11,7;94;2024-05-31
