ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;
139;179;139;Scott Farquhar;13,5;44;
140;145;140;Laurene Powell Jobs and family;13,4;60;
141;287;141;Henry Samueli;13,3;69;
142;163;142;Ricardo Salinas Pliego and family;13,2;68;
143;232;143;Leon Black;13,2;72;
144;135;144;Joseph Lau;13,1;72;
145;123;145;Goh Cheng Liang;13,1;96;
146;140;146;Mikhail Fridman;12,9;59;
147;215;147;David Cheriton;12,9;72;
148;157;148;Giorgio Armani;12,8;89;
149;75;149;Wang Wei;12,8;53;
150;88;150;Wang Chuanfu;12,7;57;
151;381;151;John Tu;12,2;82;
152;379;152;David Sun;12,2;72;
153;129;153;Lui Che Woo;12,1;94;
154;174;154;Jeffery Hildebrand;12,1;64;
155;178;155;Christy Walton;12,0;74;
156;252;156;George Roberts;12,0;80;
157;224;157;John Doerr;11,9;72;
158;212;158;Azim Premji;11,9;78;
159;142;159;Dang Yanbao;11,8;51;
160;153;160;Israel Englander;11,8;75;
161;144;161;Shahid Khan;11,8;73;
162;116;162;Dhanin Chearavanont;11,6;84;
163;3130;163;Edward Johnson IV;11,6;59;
164;164;164;Donald Newhouse;11,5;94;
165;386;165;Trudy Cathy White;11,5;68;
166;385;165;Dan Cathy;11,5;70;
167;384;165;Bubba Cathy;11,5;69;
168;152;168;Michael Rubin;11,5;51;
169;148;169;Pavel Durov;11,5;39;
170;537;170;Alexander Gerko;11,4;44;
171;126;171;Kwong Siu-hing;11,4;94;
172;3131;172;Henry Nicholas III;11,3;64;
173;168;173;Sky Xu;11,2;40;
174;165;174;Robert Kraft;11,1;82;
175;158;175;Johann Rupert and family;11,1;73;
176;118;176;Charoen Sirivadhanabhakdi;11,1;79;
177;517;177;Barry Lam;11,1;74;
178;156;178;Mikhail Prokhorov;11,0;58;
179;166;179;Marcel Herrmann Telles and family;11,0;74;
180;214;180;Eric Smidt;11,0;64;
181;235;181;Hasso Plattner and family;11,0;80;
182;303;182;Henry Kravis;11,0;80;
183;271;183;Jay Y. Lee;10,8;55;
184;167;184;Suleiman Kerimov and family;10,7;57;
185;189;185;Melker Schorling and family;10,7;76;
186;391;186;Melinda French Gates;10,6;59;
187;175;187;Viktor Rashnikov;10,5;75;
188;136;188;Lu Xiangyang;10,4;61;
189;141;189;Sarath Ratanavadi;10,3;58;
190;172;190;Carl Cook;10,3;61;
