ID;User_ID;Table_rank_2022;Person;net_worth_in_BillionUSD_2024_02;Age_of_person_2024_02
2332;2126;2332;Zhang Keqiang;1,2;63
2333;3209;2333;Christoffel Wiese;1,2;82
2334;3247;2334;Arthur Xiaobo Hong;1,2;52
2335;2458;2335;Hiroshi Ishibashi;1,2;77
2336;2593;2336;Koo Bon-neung;1,2;74
2337;3118;2337;Larry Fink;1,2;71
2338;3269;2338;Zhou Liangzhang and family;1,2;61
2339;1047;2339;Li Xiaohua and family;1,2;62
2340;3238;2340;Taavet Hinrikus;1,2;41
2341;2280;2341;Ashwin Desai;1,2;72
2342;2451;2342;Polys Haji-Ioannou;1,2;64
2343;2270;2343;Thomas Bailey;1,2;87
2344;2277;2344;Chung Yong-jin;1,2;55
2345;2528;2345;Yao Hsiao Tung;1,2;84
2346;3086;2346;Analjit Singh;1,2;70
2347;2891;2347;Zhang Yubai;1,2;59
2348;1804;2348;Noubar Afeyan;1,2;61
2349;2434;2349;Shlomo Eliahu;1,2;88
2350;2598;2350;Li Wanqiang;1,2;46
2351;2421;2351;Giuliana Caprotti;1,2;83
2352;2422;2351;Marina Caprotti;1,2;46
2353;2566;2353;Benedicte Find;1,2;69
2354;3218;2354;Raamdeo Agrawal;1,2;67
2355;2305;2355;Mohammed Ibrahim;1,2;77
2356;2165;2356;Keiko Erikawa;1,2;75
2357;1855;2357;Liang Qin and family;1,2;52
2358;3222;2358;Wang Xiaokun;1,2;41
2359;2043;2359;Alfredo Harp Helu and family;1,2;79
2360;2512;2360;Tsao Ter-fung;1,2;77
2361;3270;2361;Lucio Co;1,2;69
2362;1404;2362;Qi Xiangdong;1,2;53
2363;2166;2363;Yoichi Erikawa;1,2;73
2364;3075;2364;Bob Muglia;1,1;64
2365;3224;2365;Taylor Swift;1,1;34
2366;2376;2366;Ruben Vardanyan and family;1,1;55
2367;2576;2367;Hong Feng;1,1;47
2368;1458;2368;Jane Goldman;1,1;68
2369;2240;2369;Clemens Toennies;1,1;67
2370;2241;2369;Robert Toennies;1,1;45
2371;2490;2371;Adrian Paval;1,1;55
2372;2532;2372;Yu Faxiang;1,1;52
2373;2440;2373;Paul Fireman;1,1;80
2374;2443;2374;Donald Friese;1,1;83
2375;2033;2375;Chris Ellison;1,1;66
2376;2471;2376;Andrei Kosogov;1,1;62
2377;2127;2377;Zhang Xin;1,1;58
2378;3227;2378;Chung Mong-joon;1,1;72
2379;2030;2379;Chen Wenyuan and family;1,1;56
2380;2111;2380;Wang Jilei;1,1;59
2381;1880;2381;Tseng Sing-ai;1,1;
2382;2597;2382;Michiel Le Roux;1,1;74
2383;2388;2383;Eugene Wu;1,1;78
2384;3271;2384;Gabriel Escarrer and family;1,1;88
2385;2348;2385;Andrei Rappoport;1,1;60
2386;1959;2386;Liu Xiucai and family;1,1;66
2387;2477;2387;Norma Lerner;1,1;87
2388;2418;2388;Pradip Burman;1,1;81
2389;2311;2389;Alexander Klyachin;1,1;56
2390;3048;2390;Richard Fairbank;1,1;73
2391;1961;2391;Lu Zongjun;1,1;60
2392;2138;2392;Roman Avdeev;1,1;56
2393;2226;2393;Nobutada Saji;1,1;78
2394;2378;2394;Thongma Vijitpongpun;1,1;66
2395;2476;2395;Nancy Lerner;1,1;63
2396;2504;2396;Manny Stul;1,1;74
2397;2608;2397;Stanley Motta;1,1;78
2398;2919;2397;Sergio Fogel;1,1;60
2399;2234;2399;Song Fei;1,1;57
2400;2589;2400;Muhammed Aziz Khan;1,1;69
2401;2478;2401;Randolph Lerner;1,1;62
2402;2185;2402;Joe Kiani;1,1;59
2403;2911;2403;Yang Tingdong;1,1;63
2404;2877;2404;Dulce Pugliese de Godoy Bueno;1,1;76
2405;2519;2405;Allan Wong;1,1;73
2406;2199;2406;Itamar Locks and family;1,1;69
2407;2202;2407;Blairo Maggi;1,1;67
2408;2492;2408;Kevin Plank;1,1;51
2409;2470;2409;Koo Bon-sik;1,1;65
2410;2902;2410;Ren Jinsheng and family;1,1;61
2411;2255;2411;Peng Zhao;1,1;53
2412;2412;2412;Henadiy Boholyubov;1,1;62
2413;2986;2413;Wang Jianyi;1,1;61
2414;2525;2413;Xiu Laigui;1,1;69
2415;2475;2415;Lee Joong-keun;1,1;83
2416;2626;2416;Wang Jianfeng and family;1,1;
2417;3229;2417;Pedro Grendene Bartelle;1,1;74
2418;2353;2418;Francesco Saputo;1,1;
2419;3232;2419;James Truchard;1,1;80
2420;2462;2420;Jonas Kamprad;1,1;57
2421;2463;2420;Mathias Kamprad;1,1;54
2422;2563;2422;Mark Dixon;1,1;64
2423;2448;2423;Cristina Green;1,1;
2424;2449;2423;Philip Green;1,1;
2425;2051;2425;Kim Taek-jin;1,1;56
2426;2446;2426;David Golub;1,1;61
2427;2501;2426;Michael Spencer;1,1;68
2428;2914;2428;Andres Bzurovski Bay;1,1;46
2429;1474;2429;Liu Chengyu and family;1,1;61
2430;3235;2430;Benny Suherman;1,1;76
2431;2038;2431;Lance Gokongwei;1,1;56
2432;2611;2432;Vera Rechulski Santo Domingo;1,1;75
2433;3230;2433;Kenneth Lo;1,1;85
2434;2559;2434;John Christodoulou;1,1;58
2435;2070;2435;Liu Fangyi;1,1;
2436;2031;2436;Chua Thian Poh;1,1;75
2437;2413;2437;Stephane Bonvin;1,1;57
2438;3241;2438;Jeff Sprecher;1,1;69
2439;2596;2439;Lev Kvetnoi;1,1;58
2440;2588;2440;Brad Keywell;1,1;54
2441;2606;2441;Andrei Molchanov;1,1;52
2442;2572;2442;Stelios Haji-Ioannou;1,1;57
2443;1522;2443;Cao Jianwei;1,1;45
2444;3272;2444;Shin Chang-jae;1,1;70
2445;2439;2445;Gleb Fetisov;1,1;57
2446;2491;2446;Antonio Percassi;1,1;70
2447;1786;2447;Rajju Shroff;1,1;90
2448;3273;2448;Baiju Bhatt;1,1;39
2449;2092;2449;Qian Jinghong;1,1;51
2450;2243;2450;Pongsak Viddayakorn;1,1;89
2451;2067;2451;Li Jinyang;1,1;
2452;2214;2452;John Oyler;1,1;55
2453;3073;2453;Lv Yongxiang;1,1;74
2454;2212;2454;Nguyen Dang Quang;1,1;60
2455;3274;2455;Susan Co;1,1;66
2456;1529;2456;Amy Goldman Fowler;1,1;69
2457;3244;2457;Pantas Sutardja;1,1;
2458;2515;2458;Peter-Alexander Wacker;1,1;72
2459;2506;2459;Sun Weijie;1,1;60
2460;3062;2460;Harry Klagsbrun;1,1;69
2461;2599;2461;Liu Baolin;1,1;70
2462;3236;2462;Pradeep Rathod;1,1;59
2463;2464;2463;Peter Kamprad;1,1;59
2464;2616;2464;Petter Stordalen and family;1,1;61
2465;3057;2465;Huang Jiangji;1,1;
2466;3220;2466;Max Levchin;1,1;48
2467;1574;2467;Zhu Yiwen and family;1,1;60
2468;3275;2468;Ma Yunsheng;1,1;61
2469;3240;2469;John Lim;1,1;67
2470;1848;2470;Robert Langer;1,1;75
2471;2520;2471;Tiger Woods;1,1;48
2472;3109;2472;Krishna Kumar Bangur;1,1;63
2473;2173;2473;Hoi Kin Hong;1,1;71
2474;3276;2474;Kalpana Parekh;1,1;71
2475;1862;2475;Stefan Pierer;1,1;67
2476;2396;2476;Vadim Yakunin;1,1;61
2477;3246;2477;Xiang Wenbo;1,1;61
2478;3239;2478;Weijian Shan;1,1;70
2479;3277;2479;Wu Bo;1,1;69
2480;2086;2480;Niti Osathanugrah;1,1;50
2481;2137;2481;Anant Asavabhokhin;1,1;73
2482;1802;2482;Zheng Xiaodong;1,1;59
2483;3278;2483;Zhuang Kuilong and family;1,1;61
2484;2303;2484;Huang Guanlin;1,1;59
2485;1614;2485;Lin Dingqiang and family;1,1;57
2486;2301;2486;Orion Hindawi;1,1;44
2487;2329;2487;Mao Zhongwu;1,1;61
2488;2551;2488;Chang Kuo-Ming;1,1;
2489;1536;2489;Diane Kemper;1,1;78
2490;3279;2490;William Fung;1,1;75
2491;2213;2491;Kazuo Okada;1;81
2492;2582;2492;LeBron James;1;39
2493;2629;2493;Wen Pengcheng and family;1;61
2494;3012;2494;John Krystynak;1;55
2495;2259;2495;Sanjay Agarwal;1;53
2496;2571;2496;Clelia Haji-Ioannou;1;53
2497;2594;2497;Michael Kum;1;79
2498;2522;2498;Wu Kaiting;1;54
2499;1960;2499;Lu Zhongfang;1;81
2500;3280;2500;M.P. Ramachandran;1;77
2501;3281;2501;Fung Victor;1;78
2502;2196;2502;Li Yongqing;1;59
2503;2167;2503;Philip Fayer;1;46
2504;3282;2504;Tang Xiuguo;1;60
2505;2591;2505;Ihor Kolomoyskyy;1;61
2506;2579;2506;Danilo Iervolino;1;45
2507;2399;2507;Zan Shengda;1;60
2508;1996;2508;Tan Lili;1;
2509;1757;2509;Mustafa Kucuk;1;60
2510;2419;2510;Cai Hongbin;1;
2511;2409;2511;Abigail Bennett;1;43
2512;3065;2512;Robert Knauf;1;
2513;3064;2513;Martin Knauf;1;
2514;2445;2514;Rahul Gautam;1;71
2515;3059;2515;Subba Rao Jasti;1;97
2516;3234;2516;Lalit Khaitan;1;80
2517;2395;2517;Xu Yuejuan;1;62
2518;2550;2518;Edouard Carmignac;1;76
2519;2615;2519;Scott Smith;1;74
2520;3002;2520;Luigi Cremonini and family;1;84
2521;2256;2521;Zhao Tongtong;1;57
2522;2417;2522;Marina Budiman;1;62
2523;2124;2523;Yuan Liping;1;53
2524;2936;2524;Xu Wanmao;1;79
2525;3283;2525;Robert Kierlin;1;
2526;2583;2526;Johan Johannson;1;57
2527;3284;2527;Chang Pyung-soon;1;73
2528;3237;2528;Takanori Nakamura;1;51
2529;2361;2529;Edwin Soeryadjaya;1;74
2530;2349;2530;Hugo Ribeiro and family;1;
2531;2614;2531;Neerja Sethi;1;69
2532;2472;2532;Yogesh Kothari;1;75
2533;2590;2533;Kim Jung-woong;1;49
2534;2609;2534;Tyler Perry;1;54
2535;3285;2535;Bruce Nordstrom;1;90
2536;2077;2536;Mao Lixiang and family;1;83
2537;2547;2537;Ana Maria Brescia Cafferata;1;99
2538;1209;2537;Michael S. Smith;1;68
2539;2584;2537;Morris Kahn;1;94
2540;2595;2537;Richard Kurtz;1;83
2541;2864;2541;Bang Jun-hyuk;1;55
2542;2852;2542;Kanye West;0,4;46
2543;3251;2543;Elizabeth Holmes;0;40
2544;2699;2543;Gary Wang;0;30
2545;426;2543;Rene Benko;0;46
2546;2654;2543;Sam Bankman-Fried;0;31
