"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6"
"100","Alberto GARCÍA RODRÍGUEZ DE SEPÚLVEDA","ESP","18","18","0","","","",""
"101","Andrin ZEDLER","GER","17","12","5","","","",""
"101","Junwoo LEE","KOR","17","17","","","","",""
"101","Jack WHITNEY","CAN","17","6","11","","","",""
"104","Tobias PLANGGER","AUT","15","0","15","","","",""
"104","Ezell, Qing Wei LOW","SGP","15","7","8","","","",""
"106","Jose Tomas LEDESMA","CHI","12","12","","","","",""
"106","Pedro EGG","BRA","12","0","3","9","","",""
"106","Flynn CHISHOLM","NZL","12","8","4","","","",""
"106","Chi-Fung AU","HKG","12","0","12","","","",""
"106","Max MENGUAL","FRA","12","6","6","","","",""
"111","Glenn BAKRI","INA","11","11","","","","",""
"111","Minsu KANG","KOR","11","11","","","","",""
"113","Gabriel CANCEL","FRA","10","6","4","","","",""
"114","Andrés ALENCASTER","MEX","9","6","3","","","",""
"115","Lukas WINDISCHER","AUT","8","8","0","0","","",""
"115","Yongzhi LING","CHN","8","8","","","","",""
"115","Taede MAI","USA","8","8","","","","",""
"115","Marius PAYET GABORIAUD","FRA","8","8","0","","","",""
"119","Dorian ZEDLER","GER","7","0","7","0","","",""
"119","Ned JOHNSTON","NZL","7","7","","","","",""
"119","Aurélien GAYRARD","FRA","7","7","","","","",""
"122","Robert ZAJAC","POL","6","6","0","0","","",""
"123","Paco LEHMANN","FRA","4","4","","","","",""
"124","Mikolaj WROBLEWSKI","POL","3","3","0","0","","",""
"124","Mikolaj BARABAS","POL","3","3","0","","","",""
"124","Hasan MENSUR","TUR","3","3","","","","",""
"124","Ti̇mur TAŞ","TUR","3","3","","","","",""
"128","Aideen NORDIN","MAS","2","2","","","","",""
