"rank","r-name","r-name-sub","score","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15"
"103","Nimród Sebestyén TUSNÁDY","HUN","69","1","68","0","0","0",""
"103","Marley FARQUHARSON","AUS","69","69","","","","",""
"105","Nathan WHALEY","GBR","68","6","56","6","0","",""
"106","Filip SCHENK","ITA","64.66","16","48.66","","","",""
"107","Vail EVERETT","USA","63.5","24","8","16","5","10.5",""
"108","Michael O'NEILL","IRL","62.5","25.5","2","3.5","31.5","0","0"
"109","Joshua DAMASCO","AUS","57","57","","","","",""
"110","Zach RICHARDSON","CAN","53.25","13.5","14.75","25","","",""
"111","Jinwei YAO","CHN","52","52","","","","",""
"112","Jesse RUFFINI","AUS","48","48","","","","",""
"112","Hyunseung NOH","KOR","48","35.5","1","11.5","","",""
"114","Raviandi RAMADHAN","INA","45","20","1","6","18","",""
"115","Samuel BUTTERWORTH","GBR","43.33","16","13","6.33","8","",""
"116","Ronny ESCOBAR","CHI","41","41","","","","",""
"116","Pietro VIDI","ITA","41","41","","","","",""
"118","Slav KIROV","BUL","40.5","11.5","10.5","8","10.5","0","0"
"119","Ben ABEL","AUS","40","40","","","","",""
"120","Alexandru-Florian ZAHARIA","ROU","38.4","20","7.4","8","2","1","0"
"121","Iman AREZEH","IRI","36","31.5","3.5","1","","",""
"122","Darius RÂPĂ","ROU","35.5","35.5","0","","","",""
"122","Xuanpu BAI","CHN","35.5","0","35.5","","","",""
"124","Dylan SMITH","CAN","35","30","5","0","0","",""
"125","Samuel Carlos DA SILVA","BRA","34","14","14","1","3","2",""
"126","Luka SUGIMOTO-FAULKNER","NZL","33","33","","","","",""
"127","Emil ZIMMERMANN","GER","32.5","4.5","0","28","","",""
"128","Nathan MARTIN","LUX","31.66","8.66","21","2","0","",""
"129","Junzhe HU","CHN","31.5","31.5","0","","","",""
"129","Kito MARTINI","FRA","31.5","31.5","0","","","",""
"131","Dragoș Gabriel FLUERARU","ROU","29.5","16","13.5","0","","",""
"132","Joshua GERHARDT","USA","28.16","5","12","6.5","2.66","2","0"
"133","Beomjin PARK","KOR","28","16","5","7","0","",""
"134","Timo UZNIK","AUT","27.83","4.33","11.5","12","","",""
"135","Max THOMAS","AUS","27","27","","","","",""
"136","Leonardo MAGALLANES TEJADA","MEX","26","11","15","","","",""
"137","Jack BURNINGHAM","RSA","25.5","25.5","","","","",""
"138","Chua DENNIS","SGP","23.66","8.66","15","","","",""
"139","Ali SALIMIAN","IRI","23.23","2","0","7.4","3.5","4.5","5.83"
"140","Martin STRANIK","CZE","22","20","2","","","",""
"141","Ian TAN","CAN","21","21","","","","",""
"141","Dylan SOIN","AUS","21","21","","","","",""
"143","Călin ENACHE","ROU","19.33","11.33","0","3","1","4","0"
"144","Yonatan KATZ","ISR","19","7","12","","","",""
"145","Roman SIVAKOV","LTU","18.9","2","0","7.5","9","0.4","0"
"146","Chi-Fung AU","HKG","18","18","","","","",""
"146","Dante CABALLERO","CHI","18","18","","","","",""
"148","Luke GOH WEN BIN","SGP","17.5","12.5","5","","","",""
"149","Tomer YAKOBOVITCH","ISR","17","17","0","","","",""
"149","Ned MIDDLEHURST","AUS","17","17","","","","",""
"151","Sungjoon CHAE","KOR","14.75","14.75","","","","",""
"151","Yannick NAGEL","GER","14.75","14.75","","","","",""
"153","Hugo MARTÍN ÁLVAREZ","ESP","14.5","0","4.5","4","0","6","0"
"154","Simon LORENZI","BEL","14","9","5","","","",""
"155","Gabriel KERN","SWE","12.5","10.5","2","0","0","",""
"156","Seungchan CHOI","KOR","12.33","1","11.33","","","",""
"157","Finlay CATE","NZL","12","12","","","","",""
"157","Simone MABBONI","ITA","12","12","0","","","",""
"159","Jan STIPEK","CZE","11.83","4.33","7.5","0","0","",""
"160","Wan Tong LOK","MAC","11.33","5.83","0","4.5","1","0",""
"161","Qun Tao KE","MAS","11","7","4","0","0","",""
"161","Tzu-Yu CHOU","TPE","11","7","4","","","",""
"161","Ka-Chun YAU","HKG","11","0","11","","","",""
"164","Cozmo ROTHFORK","USA","10.5","10.5","","","","",""
"164","Jonas KÖRNER","GER","10.5","10.5","0","0","","",""
"166","Sungbo SEO","KOR","10","10","","","","",""
"166","Gerald BAYO VEROSIL","SGP","10","10","","","","",""
"166","Jonathan Odiel BENITEZ RODRIGUEZ","HON","10","6","4","","","",""
"169","Davi CARVALHO PERES","BRA","9.5","0","9.5","","","",""
"169","Guy MCNAMEE","CAN","9.5","9.5","","","","",""
"171","Alexander T CVETKOVSKI","AUS","9","9","","","","",""
"171","Theis Lindegren ELFENBEIN","DEN","9","9","0","0","0","0",""
"171","Tamás FARKAS","HUN","9","9","0","0","","",""
"171","Mikel PAZ Y PUENTE HOFMANN","MEX","9","9","","","","",""
"171","Pedro AVELAR","BRA","9","9","","","","",""
"176","Dohyeon KIM","KOR","8.66","8.66","","","","",""
"177","Louis GUIGNARD","SUI","8.49","2.66","0","5.83","0","0",""
"178","Alejo SUTER","ARG","8","0","8","","","",""
"178","Albin MEYER","SWE","8","2","0","0","6","0","0"
"180","Peter KURIC","SVK","7.66","7.66","","","","",""
"181","Pedro Henrique NAMBA DE ARAÚJO","BRA","7.5","7.5","","","","",""
