"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6"
"155","Deborah ALBUQUERQUE","BRA","12","12","","","","",""
"156","Tahani ALGOUHI","KSA","11.5","6.5","5","","","",""
"157","Jiaxuan YANG","CHN","11.33","11.33","","","","",""
"157","Svana BJARNASON","ISL","11.33","4.33","7","0","","",""
"157","Lea SLOBODOVÁ","SVK","11.33","6","3.33","2","0","0",""
"157","Sunniva Eik HAAVE","NOR","11.33","11.33","0","0","0","",""
"157","Lucy GARLICK","GBR","11.33","11.33","","","","",""
"157","Francesca MATUELLA","ITA","11.33","11.33","0","","","",""
"163","Bianka JANECKA","POL","11","7","4","0","0","0",""
"163","Niamh ALLDRED","AUS","11","11","","","","",""
"163","Emilia CALLANAN","CAN","11","11","","","","",""
"166","Viktorie KONECNA","CZE","10.66","7.66","3","","","",""
"166","Astridt Alexandra VIDES ZERON","HON","10.66","10.66","","","","",""
"166","Camila FLORES","BRA","10.66","10.66","","","","",""
"166","Antonieta Esmeralda PARRA VEIZAGA","BOL","10.66","10.66","","","","",""
"170","Pak Chi SOU","MAC","10.32","9.66","0.66","","","",""
"171","Kylie BAKER","GUM","9.66","9.66","0","","","",""
"171","Shin Yee CHEN","MAS","9.66","9.66","","","","",""
"171","Tegwen OATES","RSA","9.66","9.66","","","","",""
"174","Tsz Kiu TSUI","HKG","9.51","5.66","3.85","0","","",""
"175","Arantza FERNÁNDEZ GUTIERREZ","MEX","9","9","","","","",""
"175","Daria NESTERENKO","UKR","9","0","9","","","",""
"175","Regina SALAZAR PUGA","MEX","9","5","0","1","3","",""
"178","Lena SCHRITTWIESER","AUT","8","8","0","","","",""
"178","Shareen MOHD NASRAN","MAS","8","8","0","","","",""
"180","Marketa JANOSOVA","CZE","7.66","7.66","0","","","",""
"180","Arta CELITANE","LAT","7.66","7.66","","","","",""
"182","Lukka Mörk BLOMSTERBERG","ISL","7","1","4","2","0","0",""
"182","Yixin LIU","CHN","7","7","","","","",""
"182","Yali WEI","CHN","7","7","","","","",""
"185","Roxy PERRY","AUS","6.5","6.5","","","","",""
"186","Louise FLOCKHART","GBR","6","6","","","","",""
"186","Adela KONARIKOVA","CZE","6","2","3","1","0","0","0"
"186","Prateeksha ARUN","IND","6","0","6","0","","",""
"186","Yun-Shan HSIEH","TPE","6","6","0","","","",""
"190","Sofia PARRADO","COL","5","2","3","","","",""
"190","Tihana PICOT","AUS","5","5","","","","",""
"190","Sui Lin Renee TAN","MAS","5","5","","","","",""
"190","Ziqi Elly GAO","HKG","5","0","5","","","",""
"194","Jil COUTURE","SUI","4.5","4.5","0","","","",""
"194","Anja SANTINI MIKULIĆ","CRO","4.5","4.5","0","0","0","",""
"196","Laura LOIKAS","FIN","4.33","4.33","0","","","",""
"196","Iris-Olivia MUNTEANU","ROU","4.33","4.33","","","","",""
"198","Ariane JANATA-BURNS","RSA","4","3","1","","","",""
"199","Katharina BERGMANN","AUT","3.85","3.85","0","","","",""
"200","Neza ZAJC","SLO","3.33","3.33","0","0","","",""
"201","Ariane FRANKEN","AUT","3","3","0","0","0","",""
"201","Natalie PAAROVA","CZE","3","3","0","0","","",""
"203","Si Wan LEI","MAC","2","1","1","","","",""
"203","Anne ACKRE","NOR","2","2","0","","","",""
"203","Barbara WÓJCIK","POL","2","2","0","","","",""
"203","Sina WILLY","AUT","2","2","0","","","",""
"203","Sunniva ØVRE-EIDE","NOR","2","2","","","","",""
"203","Agnes Matthildur FOLKMANN","ISL","2","2","","","","",""
"203","Mariam DE LA VEGA","MEX","2","2","","","","",""
"210","Hei Kiu Heidi WONG","HKG","1","0","1","0","","",""
"211","Melis PEHLIVAN","TUR","0.66","0.66","","","","",""
"211","Danai VALSAMIDI","GRE","0.66","0.66","","","","",""
