Self_made,2021_total,2022_total,2023_total
"TRUE",8859.80,7751.95,7062.35
"FALSE",3499.90,3520.50,3457.85
"",703.10,1347.70,1648.70
TRUE,NULL,NULL,NULL
NULL,NULL,NULL,NULL
