Self_made,2022_total,2023_total,2024_01_total,2024_02_total,2024_03_total,2024_04_total
"TRUE",7755.15,6794.85,7243.20,7471.40,7590.40,7743.50
"FALSE",3628.10,3339.90,3540.70,3601.10,3672.00,3787.30
"",1252.00,2038.55,2332.20,2449.60,2488.30,2583.90
NULL,NULL,NULL,NULL,NULL,NULL,1.00
