ID;User_ID;Table_rank_2024_03;Person;net_worth_in_BillionUSD_2024_03;Age_of_person_2024_03;Date_of_data
113;107;113;Jorge Paulo Lemann;16,2;84;2024-03-30
114;136;114;Stanley Kroenke;16,2;76;2024-03-30
115;129;115;Jan Koum;16;48;2024-03-30
116;106;116;Beate Heister;15,9;73;2024-03-30
117;105;117;Karl Albrecht jr;15,9;76;2024-03-30
118;229;118;Ravi Jaipuria;15,8;69;2024-03-30
119;124;119;Idan Ofer;15,8;68;2024-03-30
120;180;120;Nicolas Puech;15,8;81;2024-03-30
121;233;121;Andreas von Bechtolsheim;15,7;68;2024-03-30
122;145;122;Pavel Durov;15,5;39;2024-03-30
123;77;123;Leonard Lauder;15,5;91;2024-03-30
124;81;124;Ray Dalio;15,4;74;2024-03-30
125;2616;125;Philip Anschutz;15,3;84;2024-03-30
126;86;126;Wang Chuanfu;15,2;58;2024-03-30
127;122;127;Aliko Dangote;15,1;66;2024-03-30
128;131;128;George Kaiser;14,8;81;2024-03-30
129;108;129;Peter Woo;14,6;77;2024-03-30
130;100;130;Li Xiting;14,5;73;2024-03-30
131;168;131;David Duffield;14,5;83;2024-03-30
132;227;132;Leon Black;14,3;72;2024-03-30
133;116;133;Charlene de Carvalho-Heineken;14,3;69;2024-03-30
134;282;134;Henry Samueli;14,2;69;2024-03-30
135;98;135;Theo Albrecht jr;14,1;73;2024-03-30
136;130;136;Jerry Jones;13,9;81;2024-03-30
137;139;137;Dang Yanbao;13,8;51;2024-03-30
138;114;138;David Green;13,7;82;2024-03-30
139;173;139;Christy Walton;13,7;75;2024-03-30
140;159;140;Ricardo Salinas Pliego;13,5;68;2024-03-30
141;119;141;Alisher Usmanov;13,5;70;2024-03-30
142;75;142;Wang Wei;13,5;53;2024-03-30
143;210;143;David Cheriton;13,4;73;2024-03-30
144;135;144;Uday Kotak;13,4;65;2024-03-30
145;202;145;James Dyson;13,3;76;2024-03-30
146;132;146;Joseph Lau;13,1;72;2024-03-30
147;137;147;Mikhail Fridman;13,1;59;2024-03-30
148;142;148;Laurene Powell Jobs;12,9;60;2024-03-30
149;247;149;George Roberts;12,9;80;2024-03-30
150;169;150;Jeffery Hildebrand;12,6;65;2024-03-30
151;112;151;Huang Shilin;12,6;57;2024-03-30
152;510;152;Barry Lam;12,6;74;2024-03-30
153;270;153;Georg Stumpf;12,6;51;2024-03-30
154;166;154;Mike Cannon-Brookes;12,5;44;2024-03-30
155;308;155;Anders Holch Povlsen;12,5;51;2024-03-30
156;219;156;John Doerr;12,5;72;2024-03-30
157;150;157;Israel Englander;12,4;75;2024-03-30
158;187;158;Lei Jun;12,4;54;2024-03-30
159;174;159;Scott Farquhar;12,3;44;2024-03-30
160;133;160;Lu Xiangyang;12,3;61;2024-03-30
161;141;161;Shahid Khan;12,2;73;2024-03-30
162;230;162;Hasso Plattner;12,1;80;2024-03-30
163;381;163;Henry Nicholas III.;12;64;2024-03-30
164;113;164;Dhanin Chearavanont;11,9;84;2024-03-30
165;120;165;Goh Cheng Liang;11,8;96;2024-03-30
166;297;166;Henry Kravis;11,8;80;2024-03-30
167;207;167;Azim Premji;11,8;78;2024-03-30
168;2628;168;Edward Johnson IV.;11,8;59;2024-03-30
169;123;169;Kwong Siu-hing;11,7;94;2024-03-30
170;209;170;Eric Smidt;11,7;64;2024-03-30
171;570;171;Yu Yong;11,6;63;2024-03-30
172;611;172;David Velez;11,6;42;2024-03-30
173;232;173;Manuel Villar;11,6;74;2024-03-30
174;266;174;Jay Y. Lee;11,6;55;2024-03-30
175;1342;175;Brian Armstrong;11,5;41;2024-03-30
176;149;176;Michael Rubin;11,5;51;2024-03-30
177;165;177;Andrew Beal;11,5;71;2024-03-30
178;143;178;Robert Kuok;11,4;100;2024-03-30
179;384;179;Melinda French Gates;11,3;59;2024-03-30
180;155;180;Johann Rupert;11,2;73;2024-03-30
181;154;181;Giorgio Armani;11,2;89;2024-03-30
182;379;182;Trudy Cathy White;11,2;68;2024-03-30
183;377;183;Bubba Cathy;11,2;69;2024-03-30
184;378;184;Dan Cathy;11,2;71;2024-03-30
185;163;185;Sky Xu;11,2;40;2024-03-30
186;126;186;Lui Che Woo;11,2;94;2024-03-30
187;2621;187;Robert Kraft;11,1;82;2024-03-30
188;199;188;Ernesto Bertarelli;11,1;58;2024-03-30
189;160;189;Donald Newhouse;11,1;94;2024-03-30
190;118;190;Wei Jianjun;11;60;2024-03-30
191;201;191;Brian Chesky;11;42;2024-03-30
192;422;192;Jay Chaudhry;11;64;2024-03-30
193;153;193;Mikhail Prokhorov;11;58;2024-03-30
194;115;194;Charoen Sirivadhanabhakdi;11;79;2024-03-30
195;259;195;Patrick Ryan;10,9;86;2024-03-30
196;161;196;Marcel Herrmann Telles;10,9;74;2024-03-30
197;162;197;Suleiman Kerimov;10,7;58;2024-03-30
198;272;198;Li Shuirong;10,7;67;2024-03-30
199;256;199;Nathan Blecharczyk;10,6;40;2024-03-30
200;170;200;Viktor Rashnikov;10,6;75;2024-03-30
201;167;201;Carl Cook;10,6;61;2024-03-30
202;481;202;Mat Ishbia;10,6;44;2024-03-30
203;152;203;Anthony Pratt;10,6;63;2024-03-30
204;197;204;Vincent Bollore;10,6;71;2024-03-30
205;433;205;Antony Ressler;10,5;63;2024-03-30
206;258;206;Bernard Marcus;10,5;94;2024-03-30
207;326;207;Marc Benioff;10,5;59;2024-03-30
208;188;208;Friedhelm Loh;10,5;77;2024-03-30
209;172;209;Georg Schaeffler;10,5;59;2024-03-30
210;228;210;Graeme Hart;10,5;68;2024-03-30
211;157;211;Zhang Zhidong;10,4;52;2024-03-30
212;208;212;Charles Schwab;10,3;86;2024-03-30
