ID;User_ID;Table_rank_2024_09;Person;net_worth_inBillionUSD_2024_09;Age_of_person_2024_09;Date_of_data
2503;2537;2503;Stelios Haji-Ioannou;1,2;57;2024-09-30
2504;2919;2504;Stanley Tang;1,2;31;2024-09-30
2505;1908;2505;He Zhenggang;1,2;70;2024-09-30
2506;3063;2506;Hua Xuande;1,2;80;2024-09-30
2507;3099;2507;Xiang Wenbo;1,2;62;2024-09-30
2508;2401;2508;Shlomo Eliahu;1,2;88;2024-09-30
2509;2277;2509;Ke Guihua;1,2;58;2024-09-30
2510;3311;2510;Vladimir Krupchak;1,2;66;2024-09-30
2511;2223;2511;Peng Zhao;1,2;53;2024-09-30
2512;3004;2512;Larry Fink;1,2;71;2024-09-30
2513;2484;2513;Allan Wong;1,2;74;2024-09-30
2514;2394;2514;Tony Chen;1,2;75;2024-09-30
2515;2059;2515;Pan Shiyi;1,2;61;2024-09-30
2516;2109;2516;Sachin Bansal;1,2;43;2024-09-30
2517;2935;2517;Richard Fairbank;1,2;74;2024-09-30
2518;3312;2518;Arsen Kanokov;1,2;67;2024-09-30
2519;1386;2519;Jeffrey Soffer;1,2;56;2024-09-30
2520;1516;2520;Liang Zhaoxian;1,2;59;2024-09-30
2521;2056;2521;Vadim Novinsky;1,2;61;2024-09-30
2522;2943;2522;Eduardo Hochschild;1,2;60;2024-09-30
2523;2216;2523;Myron Wentz;1,2;84;2024-09-30
2524;2252;2524;Mathias Doepfner;1,2;61;2024-09-30
2525;3330;2525;Andrew Tisch;1,2;75;2024-09-30
2526;2576;2526;Vera Rechulski Santo Domingo;1,2;75;2024-09-30
2527;1724;2527;Keeree Kanjanapas;1,2;73;2024-09-30
2528;3301;2528;Tang Ye;1,2;43;2024-09-30
2529;2409;2529;Donald Friese;1,2;83;2024-09-30
2530;2308;2530;Jose Isaac Peres;1,2;84;2024-09-30
2531;3066;2531;Gary Tharaldson;1,2;78;2024-09-30
2532;2297;2532;Mao Zhongwu;1,2;62;2024-09-30
2533;2202;2533;Song Fei;1,2;58;2024-09-30
2534;2096;2534;Zhang Xin;1,2;59;2024-09-30
2535;3134;2535;Tang Xiuguo;1,2;61;2024-09-30
2536;3318;2536;Selcuk Bayraktar;1,2;44;2024-09-30
2537;2413;2537;Pavel Golubkov;1,2;48;2024-09-30
2538;2949;2538;Harry Klagsbrun;1,2;70;2024-09-30
2539;2978;2539;Surin Upatkoon;1,2;75;2024-09-30
2540;1774;2540;Zhong Ruonong;1,2;61;2024-09-30
2541;2381;2541;Oleg Boyko;1,2;60;2024-09-30
2542;1221;2542;Lu Yiwen;1,2;37;2024-09-30
2543;3296;2543;Wang Jinhua;1,2;61;2024-09-30
2544;2035;2544;Michael Lee-Chin;1,2;73;2024-09-30
2545;1849;2545;Michael Tojner;1,2;58;2024-09-30
2546;3321;2546;Bastian Nominacher;1,2;39;2024-09-30
2547;3695;2547;Diamantis Diamantides;1,2;77;2024-09-30
2548;864;2548;Chen Shibin;1,2;57;2024-09-30
2549;2266;2549;Fahed Hariri;1,2;43;2024-09-30
2550;2792;2550;Lim Wee Chai;1,2;66;2024-09-30
2551;2006;2551;J. Christopher Flowers;1,2;66;2024-09-30
2552;1806;2552;Timothy Headington;1,2;74;2024-09-30
2553;1984;2553;Xu Zhihan;1,2;51;2024-09-30
2554;2559;2554;Michael Kum;1,2;79;2024-09-30
2555;2334;2555;Ion Stoica;1,2;59;2024-09-30
2556;2365;2555;Matei Zaharia;1,2;39;2024-09-30
2557;3383;2555;Yinon Costica;1,2;41;2024-09-30
2558;3384;2555;Ami Luttwak;1,2;40;2024-09-30
2559;3386;2555;Roy Reznik;1,2;36;2024-09-30
2560;3387;2555;Assaf Rappaport;1,2;41;2024-09-30
2561;772;2561;Wang Yanqing;1,2;78;2024-09-30
2562;3713;2562;Bruce Springsteen;1,2;75;2024-09-30
2563;2469;2563;Manny Stul;1,2;75;2024-09-30
2564;1756;2564;Keiichi Shibahara;1,2;59;2024-09-30
2565;1895;2565;Federico De Nora;1,2;56;2024-09-30
2566;2972;2566;Analjit Singh;1,2;70;2024-09-30
2567;2062;2567;Qian Jinghong;1,2;51;2024-09-30
2568;2518;2568;Rui Chen;1,2;46;2024-09-30
2569;3147;2569;Huang Jian;1,2;57;2024-09-30
2570;2319;2570;Thomas Sandell;1,2;63;2024-09-30
2571;2129;2571;Aydin Dogan;1,2;88;2024-09-30
2572;3326;2572;Ankur Jain;1,2;34;2024-09-30
2573;2547;2573;LeBron James;1,2;39;2024-09-30
2574;2181;2574;Nguyen Dang Quang;1,2;61;2024-09-30
2575;3327;2575;Martin Klenk;1,2;37;2024-09-30
2576;3376;2576;Rafal Brzoska;1,2;46;2024-09-30
2577;2253;2577;Farhad Ebrahimi;1,2;85;2024-09-30
2578;1818;2578;Eiichi Kuriwada;1,2;77;2024-09-30
2579;3123;2579;Gabriel Escarrer;1,2;89;2024-09-30
2580;2528;2580;Mark Dixon;1,2;64;2024-09-30
2581;2208;2581;Clemens Toennies;1,2;68;2024-09-30
2582;2209;2581;Robert Toennies;1,2;46;2024-09-30
2583;2172;2583;Yasseen Mansour;1,2;63;2024-09-30
2584;2785;2584;Zhang Yubai;1,2;60;2024-09-30
2585;3072;2585;Magic Johnson;1,2;65;2024-09-30
2586;3101;2586;Lee Jay-hyun;1,2;64;2024-09-30
2587;2471;2587;Sun Weijie;1,2;61;2024-09-30
2588;2345;2588;Thongma Vijitpongpun;1,2;67;2024-09-30
2589;3122;2589;Lucio Co;1,2;70;2024-09-30
2590;3329;2590;Dick Wolf;1,2;77;2024-09-30
2591;2920;2591;Alexander Tedja;1,2;79;2024-09-30
2592;3711;2592;Yury Maksimov;1,2;46;2024-09-30
2593;2193;2593;Deniz Sahenk;1,2;79;2024-09-30
2594;2043;2594;Liu Ming Chung;1,2;61;2024-09-30
2595;3084;2595;Jiang Zhaobai;1,2;61;2024-09-30
2596;2077;2596;Anand Surana;1,2;53;2024-09-30
2597;2078;2596;Dilip Surana;1,2;58;2024-09-30
2598;2437;2598;Andrei Kosogov;1,2;63;2024-09-30
2599;1967;2599;Tan Lili;1,2;;2024-09-30
2600;2568;2600;Apoorva Mehta;1,2;38;2024-09-30
2601;2138;2601;Simona Giorgetta;1,2;47;2024-09-30
2602;2497;2602;Yu Faxiang;1,2;52;2024-09-30
2603;3073;2603;Max Levchin;1,2;49;2024-09-30
2604;2214;2604;Wang Mingwang;1,2;57;2024-09-30
2605;2520;2605;Tianqiao Chen;1,2;51;2024-09-30
2606;2591;2606;Wang Jianfeng;1,2;;2024-09-30
2607;2052;2607;Miao Yongjun;1,2;56;2024-09-30
2608;1569;2608;Faruk Eczacibasi;1,2;70;2024-09-30
2609;2477;2609;Tsao Ter-fung;1,2;77;2024-09-30
2610;2320;2610;Francesco Saputo;1,2;;2024-09-30
2611;2524;2611;John Christodoulou;1,2;59;2024-09-30
2612;3093;2612;John Lim;1,2;68;2024-09-30
2613;2389;2613;Marina Caprotti;1,2;46;2024-09-30
2614;2388;2613;Giuliana Caprotti;1,2;83;2024-09-30
2615;2416;2615;Said Gutseriev;1,2;36;2024-09-30
2616;2123;2616;Chin Jong Hwa;1,2;66;2024-09-30
2617;2531;2617;Benedicte Find;1,2;70;2024-09-30
2618;3304;2618;Virendra Mhaiskar;1,2;52;2024-09-30
2619;3709;2619;Madan Mohanka;1,2;81;2024-09-30
2620;2580;2620;Scott Smith;1,2;75;2024-09-30
2621;2430;2621;Peter Kamprad;1,1;60;2024-09-30
2622;2429;2621;Mathias Kamprad;1,1;55;2024-09-30
2623;2428;2621;Jonas Kamprad;1,1;58;2024-09-30
2624;3346;2624;Gyorgy Gattyan;1,1;;2024-09-30
2625;3374;2625;Zhang Jianguo;1,1;61;2024-09-30
2626;1431;2626;Jane Goldman;1,1;69;2024-09-30
2627;2405;2627;Gleb Fetisov;1,1;58;2024-09-30
2628;2490;2628;Xiu Laigui;1,1;70;2024-09-30
2629;2875;2628;Wang Jianyi;1,1;61;2024-09-30
2630;2313;2630;Qian Ying;1,1;58;2024-09-30
2631;3088;2631;Benny Suherman;1,1;76;2024-09-30
2632;2492;2632;Xue Jiping;1,1;73;2024-09-30
2633;2426;2633;Chatchai Kaewbootta;1,1;73;2024-09-30
2634;1617;2634;Zhang Hongwei;1,1;69;2024-09-30
2635;2803;2635;Yang Tingdong;1,1;64;2024-09-30
2636;2154;2636;Joe Kiani;1,1;60;2024-09-30
2637;2435;2637;Carsten Koerl;1,1;59;2024-09-30
2638;3336;2638;Craig Abod;1,1;61;2024-09-30
2639;2271;2639;Huang Guanlin;1,1;59;2024-09-30
2640;2106;2640;Anant Asavabhokhin;1,1;74;2024-09-30
2641;3337;2641;Michael Patterson;1,1;49;2024-09-30
2642;2558;2642;Koo Bon-neung;1,1;75;2024-09-30
2643;3338;2643;Scot French;1,1;54;2024-09-30
2644;3334;2644;Nicholas Woodman;1,1;49;2024-09-30
2645;2315;2645;Andrei Rappoport;1,1;61;2024-09-30
2646;2343;2646;Ruben Vardanyan;1,1;56;2024-09-30
2647;1970;2647;Prachak Tangkaravakoon;1,1;80;2024-09-30
2648;2498;2648;Zeng Chaolin;1,1;42;2024-09-30
2649;3392;2649;Yang Yuanqing;1,1;59;2024-09-30
2650;2857;2650;David Fattal;1,1;67;2024-09-30
2651;1925;2651;Li Jianli;1,1;52;2024-09-30
2652;2420;2652;Michaela Herz;1,1;;2024-09-30
2653;2419;2652;Christian Herz;1,1;;2024-09-30
2654;2552;2654;Ken Kendrick;1,1;81;2024-09-30
2655;3395;2655;Roy Vagelos;1,1;94;2024-09-30
2656;3059;2656;Takaya Awata;1,1;62;2024-09-30
2657;2491;2657;Xu Jiangnan;1,1;62;2024-09-30
2658;3700;2658;Ryan Israel;1,1;39;2024-09-30
2659;2970;2659;Steven Schuurman;1,1;49;2024-09-30
2660;2424;2660;Hiroshi Ishibashi;1,1;78;2024-09-30
2661;3371;2661;Wang Shuifu;1,1;69;2024-09-30
2662;3089;2662;Pradeep Rathod;1,1;59;2024-09-30
2663;2930;2663;Caspar Callerstroem;1,1;51;2024-09-30
2664;3094;2664;Jeff Sprecher;1,1;69;2024-09-30
2665;2555;2665;Kim Jung-woong;1,1;49;2024-09-30
2666;1501;2666;William Franke;1,1;87;2024-09-30
2667;2356;2667;Wu Yonghua;1,1;53;2024-09-30
2668;2762;2668;Chang Byung-gyu;1,1;51;2024-09-30
2669;2573;2669;Stanley Motta;1,1;79;2024-09-30
2670;2046;2670;Lucia Maggi;1,1;92;2024-09-30
2671;2594;2671;Wen Pengcheng;1,1;61;2024-09-30
2672;2856;2672;Rutger Arnhult;1,1;57;2024-09-30
2673;2022;2673;Kim Taek-jin;1,1;57;2024-09-30
2674;2225;2674;Kostyantin Zhevago;1,1;50;2024-09-30
2675;2521;2675;Yuantai Chen;1,1;56;2024-09-30
2676;3010;2676;Horst-Otto Gerberding;1,1;72;2024-09-30
2677;2561;2677;Lev Kvetnoi;1,1;59;2024-09-30
2678;3393;2678;Mustafa Latif Topbas;1,1;80;2024-09-30
2679;3732;2679;Nimesh Kampani;1,1;78;2024-09-30
2680;2536;2680;Clelia Haji-Ioannou;1,1;53;2024-09-30
2681;3344;2681;Alexander Rinke;1,1;35;2024-09-30
2682;2507;2682;Ryuji Arai;1,1;78;2024-09-30
2683;2826;2683;Xu Wanmao;1,1;79;2024-09-30
2684;2084;2684;Werner O. Weber;1,1;85;2024-09-30
2685;3345;2685;Haluk Bayraktar;1,1;45;2024-09-30
2686;2332;2686;Veronica Squinzi;1,1;52;2024-09-30
2687;2331;2686;Marco Squinzi;1,1;53;2024-09-30
2688;3701;2688;Jerry Seinfeld;1,1;70;2024-09-30
2689;2964;2689;Park Hyeon-joo;1,1;65;2024-09-30
2690;3126;2690;Susan Co;1,1;66;2024-09-30
2691;2134;2691;Keiko Erikawa;1,1;75;2024-09-30
2692;3347;2692;Pavel Demidov;1,1;55;2024-09-30
2693;3103;2693;Zhang Changhong;1,1;66;2024-09-30
2694;3127;2694;Ma Yunsheng;1,1;61;2024-09-30
2695;1666;2695;Benjamin Zhengmin Pan;1,1;54;2024-09-30
2696;2135;2696;Yoichi Erikawa;1,1;73;2024-09-30
2697;3699;2697;Paritosh Garg;1,1;69;2024-09-30
2698;3353;2698;Michael Andlauer;1,1;59;2024-09-30
2699;3148;2699;Mimi Haas;1,1;78;2024-09-30
2700;3350;2700;Vladislav Sviblov;1,1;44;2024-09-30
2701;3343;2701;Zheng Fan;1,1;45;2024-09-30
2702;3723;2702;Lennart Blecher;1,1;69;2024-09-30
2703;2891;2703;Luigi Cremonini;1,1;85;2024-09-30
2704;2549;2704;Morris Kahn;1,1;94;2024-09-30
2705;3360;2705;Nicholas Howley;1,1;62;2024-09-30
2706;3362;2706;Tibor Veres;1,1;62;2024-09-30
2707;1503;2707;Amy Goldman Fowler;1,1;70;2024-09-30
2708;2457;2708;Kevin Plank;1,1;52;2024-09-30
2709;2905;2709;Lee Seung-gun;1,1;42;2024-09-30
2710;2506;2710;Christian Angermayer;1,1;46;2024-09-30
2711;2516;2711;Chang Kuo-Ming;1,1;66;2024-09-30
2712;3375;2712;Luis Enrique Yarur Rey;1,1;73;2024-09-30
2713;2438;2713;Yogesh Kothari;1,1;75;2024-09-30
2714;2500;2714;Zhang Xuansong;1,1;52;2024-09-30
2715;1814;2715;Kim Jae-young;1,1;50;2024-09-30
2716;2544;2716;Danilo Iervolino;1,1;46;2024-09-30
2717;2995;2717;Krishna Kumar Bangur;1,1;64;2024-09-30
2718;3724;2718;Per Franzen;1,1;48;2024-09-30
2719;2554;2719;Muhammed Aziz Khan;1,1;69;2024-09-30
2720;2014;2720;Alfredo Harp Helu;1,1;80;2024-09-30
2721;3369;2721;Lisa Su;1,1;54;2024-09-30
2722;2952;2722;Robert Knauf;1,1;;2024-09-30
2723;3092;2723;Weijian Shan;1,1;70;2024-09-30
2724;1931;2724;Lu Zhongfang;1,1;81;2024-09-30
2725;3363;2725;Michael Gans;1,1;61;2024-09-30
2726;3716;2726;Robyn Jones;1,1;62;2024-09-30
2727;3717;2726;Mark Jones;1,1;62;2024-09-30
2728;2535;2728;Sven Hagstroemer;1,1;80;2024-09-30
2729;2951;2729;Martin Knauf;1,1;;2024-09-30
2730;3731;2730;Steve Koltes;1,1;68;2024-09-30
2731;3139;2731;Naresh Trehan;1,1;78;2024-09-30
2732;3146;2732;Oliver Samwer;1,1;51;2024-09-30
2733;3053;2733;Ryan Graves;1,1;41;2024-09-30
2734;3095;2734;Michelle Zatlyn;1,1;45;2024-09-30
2735;1499;2735;Dou Zhenggang;1,1;71;2024-09-30
2736;3377;2736;Shin Dong-joo;1,1;70;2024-09-30
2737;2588;2737;Murat Vargi;1,1;76;2024-09-30
2738;2386;2738;Cai Hongbin;1,1;;2024-09-30
2739;2348;2739;Wang Shih-Chung;1,1;62;2024-09-30
2740;2269;2740;Orion Hindawi;1,1;44;2024-09-30
2741;2545;2741;Hedda im Brahm-Droege;1,1;69;2024-09-30
2742;2436;2742;Koo Bon-sik;1,1;66;2024-09-30
2743;3131;2743;William Fung;1,1;75;2024-09-30
2744;1510;2744;Diane Kemper;1,1;79;2024-09-30
2745;2515;2745;Edouard Carmignac;1,0;77;2024-09-30
2746;2245;2746;Chung Yong-jin;1,0;56;2024-09-30
2747;2514;2747;Hideyuki Busujima;1,0;72;2024-09-30
2748;2330;2748;Mike Speiser;1,0;53;2024-09-30
2749;3444;2749;David Chen;1,0;43;2024-09-30
2750;3003;2750;Charles Dunstone;1,0;60;2024-09-30
2751;3145;2751;Igor Kudryashkin;1,0;62;2024-09-30
2752;3710;2752;Ramachandra Galla;1,0;86;2024-09-30
2753;3367;2753;Victor Fung;1,0;78;2024-09-30
2754;3366;2754;Sergey Shishkarev;1,0;56;2024-09-30
2755;3368;2755;Ric Elias;1,0;57;2024-09-30
2756;2480;2756;Peter-Alexander Wacker;1,0;73;2024-09-30
2757;3124;2757;Shin Chang-jae;1,0;70;2024-09-30
2758;2224;2758;Zhao Tongtong;1,0;57;2024-09-30
2759;2975;2759;Dirk Stroeer;1,0;55;2024-09-30
2760;2913;2760;Megdet Rahimkulov;1,0;78;2024-09-30
2761;2950;2761;Alexander Knauf;1,0;50;2024-09-30
2762;2048;2762;Mao Lixiang;1,0;83;2024-09-30
2763;3065;2763;Tory Burch;1,0;58;2024-09-30
2764;2791;2764;David Xueling Li;1,0;51;2024-09-30
2765;3372;2765;Andrei Kuzyaev;1,0;58;2024-09-30
2766;2168;2766;Itamar Locks;1,0;69;2024-09-30
2767;2171;2767;Blairo Maggi;1,0;68;2024-09-30
2768;3703;2768;Arnold Schwarzenegger;1,0;77;2024-09-30
2769;1851;2769;Tseng Sing-ai;1,0;;2024-09-30
2770;2842;2770;Kurt Krieger;1,0;76;2024-09-30
2771;3355;2771;Clovis Ermirio de Moraes;1,0;;2024-09-30
2772;3356;2771;Regina Helena S. Velloso;1,0;;2024-09-30
2773;3357;2771;Carlos Eduardo M. Scripilliti;1,0;;2024-09-30
2774;3378;2774;Denis Frolov;1,0;41;2024-09-30
2775;1780;2775;Louis Bacon;1,0;68;2024-09-30
2776;3379;2776;Edward Netylko;1,0;56;2024-09-30
2777;3380;2777;Larry Silverstein;1,0;93;2024-09-30
2778;2579;2778;Neerja Sethi;1,0;69;2024-09-30
2779;3090;2779;Takanori Nakamura;1,0;51;2024-09-30
2780;3702;2780;Surendra Hiranandani;1,0;69;2024-09-30
2781;3551;2781;Jasminder Singh;1,0;73;2024-09-30
2782;3136;2782;Chang Pyung-soon;1,0;73;2024-09-30
2783;3382;2783;Sam Altman;1,0;39;2024-09-30
2784;1184;2784;Michael S. Smith;1,0;69;2024-09-30
2785;2560;2784;Richard Kurtz;1,0;84;2024-09-30
2786;2379;2784;Henadiy Boholyubov;1,0;62;2024-09-30
2787;3385;2784;James Peng;1,0;;2024-09-30
2788;3733;2788;Charles Bernard;1,0;67;2024-09-30
2789;3300;2789;Marie-Helene Peugeot-Roncoroni;0,9;63;2024-09-30
2790;2749;2790;Kanye West;0,4;47;2024-09-30
2791;2631;2791;Gary Wang;0,0;31;2024-09-30
2792;3104;2791;Elizabeth Holmes;0,0;40;2024-09-30
2793;419;2791;Rene Benko;0,0;47;2024-09-30
2794;2610;2791;Sam Bankman-Fried;0,0;32;2024-09-30
