Business,2021_total,2022_total,2023_total
Intel,12.10,9.50,6.80
Glass,12.10,13.40,9.10
Trading,12.00,12.00,42.00
"Infant formula",12.00,4.80,3.50
"lithium battery",11.40,13.90,10.80
"IT provider",11.40,19.30,19.90
"Car dealerships",11.30,13.30,13.40
Two-wheelers,11.30,12.80,4.30
"Carnival Cruises",11.10,11.90,9.70
Sports,11.00,14.30,25.70
Gambling,11.00,9.00,9.50
"Food distribution",11.00,14.20,14.00
"Campbell Soup",10.90,10.80,11.90
"Furniture retailing",10.90,7.70,4.00
"retail and gas stations",10.80,9.70,NULL
Spotify,10.60,5.30,5.20
"Online media",10.50,11.10,10.20
Motors,10.50,7.00,5.10
"Cloud computing",10.50,12.50,8.90
"Financial information",10.40,9.90,7.80
Toys,10.40,6.50,2.70
Gap,9.90,7.40,6.80
Snacks,9.80,7.70,10.30
Hyundai,9.80,7.20,6.70
"plumbing fixtures",9.80,8.80,NULL
Vacuums,9.70,9.20,9.30
"Mining  metals",9.70,3.60,7.30
Paper,9.70,7.00,6.00
Fashion,9.60,6.80,9.70
"Satellite TV",9.60,8.70,3.20
"Consumer products",9.60,7.50,5.70
"Natural gas",9.30,10.40,9.80
"Payments software",9.30,14.60,9.70
"Online services",9.30,9.10,5.00
Spirits,9.30,7.90,10.50
"Natural gas distribution",9.20,4.30,7.50
"Dallas Cowboys",8.90,10.60,13.30
"Health care",8.80,9.00,8.30
Cybersecurity,8.80,12.30,9.60
Advertising,8.70,5.40,3.70
"Meat processing",8.70,7.60,5.70
"Metals and mining",8.60,4.70,7.90
Aviation,8.60,8.60,6.90
"Auto dealerships",8.60,9.10,6.60
"Pulp and paper",8.60,4.50,6.40
"Frozen foods",8.50,8.20,9.80
Dairy,8.40,8.40,6.30
Uber,8.40,5.60,6.80
"Information technology",8.40,4.60,4.30
"Bakery chain",8.30,6.60,5.10
"retail chain",8.20,1.40,NULL
"Mobile payments",8.10,3.30,1.60
"Building supplies",8.00,10.70,13.70
"Personal care goods",7.90,6.40,7.20
Heating,7.90,9.70,9.00
Drones,7.90,7.90,7.40
Biopharmaceuticals,7.90,8.30,8.30
Appliances,7.90,6.30,6.10
"Oil  banking",7.80,6.00,6.40
"Shopping centers",7.70,8.70,10.00
"Electronic components",7.70,7.70,5.40
"Home furnishings",7.50,6.10,5.10
Homebuilding,7.40,15.80,15.00
"Star Wars",7.40,6.10,5.00
U-Haul,7.40,8.80,9.10
"rubber gloves",7.40,3.60,NULL
retailer,7.40,NULL,NULL
"Kitchen appliances",7.30,8.30,8.30
Stationery,7.30,5.40,5.00
"Tech investments",7.20,7.30,6.80
Telecommunication,7.20,8.40,7.90
Adhesives,7.20,9.10,8.30
Footwear,7.10,7.40,4.90
Roku,7.10,2.40,1.60
Tequila,7.00,6.90,7.70
"New Balance",6.90,5.40,4.90
"Beef processing",6.90,10.90,7.70
"New England Patriots",6.90,8.30,10.60
"Poultry genetics",6.80,5.60,5.30
Retailing,6.80,10.50,9.70
Coca-Cola,6.80,5.70,6.40
"wind turbines",6.80,5.80,NULL
Ports,6.70,8.40,8.80
Semiconductor,6.70,11.60,5.70
"Smartphone components",6.60,3.80,3.60
"Petro Fibre",6.60,4.80,3.70
"Photovoltaic equipment",6.50,10.50,7.60
"Auto loans",6.50,8.40,8.30
Copper,6.40,4.00,3.00
"Fast food",6.40,6.40,7.70
Wine,6.30,6.60,6.00
"Art collection",6.30,6.30,6.60
"Metalworking tools",6.20,6.20,6.30
"Acoustic components",6.20,6.90,4.50
"Steel pipes",6.20,1.90,5.60
"Mutual funds",6.20,7.80,6.30
"Imaging systems",6.10,4.40,3.70
"Home-cleaning robots",6.10,7.10,4.40
"Healthcare software",6.00,7.00,7.10
"Temp agency",6.00,5.70,6.20
"Email marketing",6.00,10.00,8.00
"Marvel comics",6.00,5.10,4.00
Optometry,6.00,4.70,3.90
Tobacco,6.00,6.10,5.90
"Solar panel components",5.90,12.10,6.70
Investing,5.90,7.10,6.10
"Online entertainment",5.90,NULL,1.00
Pharmacies,5.80,4.50,6.50
Yahoo,5.80,6.30,5.60
"Construction materials",5.80,4.10,3.80
Airport,5.80,6.40,8.60
Hermes,5.70,6.60,9.80
"Sporting goods",5.70,3.80,5.00
FedEx,5.70,4.70,4.60
"Soft drinks",5.60,5.20,8.60
"Self storage",5.60,8.50,7.10
"Mapping software",5.60,6.40,7.00
"Biomedical products",5.60,5.90,6.40
"Aircraft leasing",5.60,5.40,5.10
"Laboratory services",5.60,5.80,4.30
Utilities,5.60,4.00,3.00
"Record label",5.50,5.70,5.70
"Dolby Laboratories",5.50,4.60,4.90
"Dental materials",5.50,2.30,2.30
Defense,5.40,6.00,7.30
Jewelry,5.40,9.10,9.00
Entertainment,5.40,5.10,5.40
"Convinience stores",5.30,6.30,7.60
"Computer services",5.30,5.30,4.40
"Investment banking",5.30,4.50,6.00
"Gambling software",5.20,5.60,5.60
"Pest control",5.20,5.30,5.30
"Investment research",5.20,5.70,4.40
"Coffee makers",5.20,4.40,3.90
"Paper and related products",5.20,3.70,2.50
Lithium,5.10,7.10,4.40
Netflix,5.10,3.70,3.10
"TV shows",5.10,3.90,3.70
Refinery,5.10,5.00,5.40
Motorcycles,5.00,4.30,6.70
" Berkshire Hathaway",5.00,NULL,NULL
"Gas stations",4.90,6.10,18.20
Staffing,4.90,5.90,6.40
Lululemon,4.90,5.30,5.00
"Mobile phone retailer",4.90,3.20,3.80
Starbucks,4.90,4.00,3.70
"Sports teams",4.90,6.80,7.80
"Touch screens",4.90,3.10,2.00
Healthcare,4.80,7.70,20.00
Virgin,4.80,4.70,3.40
"Sensor technology",4.80,3.30,2.80
"Pet food",4.80,4.50,4.40
"Hardware stores",4.70,5.50,9.20
"Best Buy",4.70,4.30,3.70
"Electric scooters",4.70,1.70,4.60
"Asset management",4.70,4.30,4.80
"Houston Rockets",4.60,5.60,8.10
Vodka,4.60,4.50,4.60
"Chicken processing",4.60,3.80,2.30
paints,4.60,NULL,NULL
"Navigation equipment",4.50,4.60,4.20
"Household chemicals",4.50,5.40,4.90
"Hygiene products",4.50,3.70,3.40
Valves,4.40,3.20,4.00
"Fish farming",4.40,4.50,2.70
Groupon,4.30,4.10,4.20
"Renewable energy",4.30,4.00,3.40
Art,4.30,4.10,4.80
"Internet service provider",4.30,3.30,2.10
"Dental implants",4.20,5.60,5.00
"Payroll services",4.20,5.40,4.90
"Surveillance equipment",4.20,3.40,3.30
"Mobile phones",4.20,4.10,2.90
Lighting,4.20,2.60,1.20
"food delivery service",4.20,1.30,NULL
Cannabis,4.20,NULL,NULL
"Sporting goods retail",4.10,6.00,8.30
"Toyota dealerships",4.10,4.30,5.50
"Franklin Templeton",4.10,4.30,4.20
Videogames,4.10,3.90,3.90
"Hearing aids",4.10,9.30,8.40
"Tobacco distribution",4.00,2.60,4.10
"Machine tools",4.00,3.60,3.00
"food delivery app",4.00,2.30,NULL
"Solar panels",3.90,11.30,10.80
Trucking,3.90,4.70,4.30
"Generic drugs",3.90,4.20,4.90
Agrochemicals,3.90,4.20,4.40
"Financial technology",3.90,3.10,1.70
"Social media",3.90,1.40,1.50
"Printed circuit boards",3.90,3.90,2.20
Carpet,3.80,3.30,10.00
"Solar panel materials",3.80,3.90,3.00
Prosthetics,3.80,2.60,2.60
"Hand tools",3.80,2.30,2.40
"Plastic products",3.80,5.40,3.90
"Little Caesars Pizza",3.70,4.40,4.30
"TD Ameritrade",3.70,4.50,3.40
"Electronic trading",3.70,4.20,3.20
"Pipe Manufacturing",3.70,3.90,5.40
"Leveraged buyouts",3.70,2.60,1.80
"Plush toys",3.60,4.30,5.20
"In-N-Out Burger",3.60,4.20,4.20
"Health IT",3.60,3.50,3.90
Forestry,3.60,3.20,3.40
LG,3.60,2.80,2.90
Transportation,3.60,6.30,4.20
IKEA,3.60,3.30,3.30
Zillow,3.60,NULL,NULL
"coal mining",3.60,NULL,NULL
"San Francisco 49ers",3.50,4.00,5.10
"Book distribution",3.50,4.20,3.80
Brakes,3.50,3.60,2.60
"Search engine",3.50,NULL,1.10
"Grocery delivery service",3.50,3.50,1.00
"motorcycle loans",3.50,2.50,NULL
"mobile games",3.50,3.60,NULL
"New Orleans Saints",3.40,3.80,4.70
Billboards,3.40,3.60,4.10
"Winter jackets",3.40,3.00,3.50
Scaffolding,3.40,3.40,3.30
"Movie making",3.40,3.50,3.30
Nutrition,3.40,2.90,3.10
"Formula One",3.40,3.00,2.90
"Communication equipment",3.40,3.60,3.10
"Online apparel retail",3.40,NULL,1.20
Tourism,3.40,1.20,1.10
Polyester,3.40,1.30,1.00
"home building",3.40,2.30,NULL
"Ticketing service",3.30,3.10,3.20
"Convenience stores",3.30,3.60,4.90
"Chewing gum",3.30,3.50,2.90
"Oil refinery",3.30,3.30,3.70
"Storage facilities",3.30,2.20,1.90
EasyJet,3.30,1.10,3.10
"Payment software",3.20,9.50,5.50
Timberland,3.20,3.40,5.50
"Fashion investments",3.20,3.00,3.60
"Healthcare services",3.20,2.90,2.70
"TV broadcasting",3.20,4.10,2.00
sauce,3.20,NULL,NULL
"Hair dryers",3.10,3.10,4.70
"medical labs",3.10,NULL,NULL
LCD,3.10,NULL,NULL
Biochemicals,3.00,5.30,4.40
"Indianapolis Colts",3.00,3.50,3.90
"TV network",3.00,3.10,2.90
"Measuring instruments",3.00,2.20,2.30
TV,3.00,1.90,1.60
"Philadelphia Eagles",3.00,3.50,4.40
"employment agency",3.00,3.10,NULL
"health insurance",3.00,1.10,NULL
"Construction  pipes",2.90,1.70,3.50
"Nutritional supplements",2.90,3.00,2.70
Printing,2.90,2.50,2.70
Poultry,2.90,1.90,2.20
"Payroll processing",2.90,2.50,2.20
"Metals  banking",2.90,1.90,2.10
"Amusement parks",2.90,1.90,2.00
"Venture capital investing",2.90,1.70,1.70
Pinterest,2.90,1.30,1.10
Netscape,2.80,3.20,2.90
"Damaged cars",2.80,3.00,3.50
Shipbuilding,2.80,2.30,1.70
"Call centers",2.80,4.00,3.00
Hardware,2.80,1.90,1.60
"Automotive technology",2.80,3.00,2.80
"Furniture retail",2.80,2.10,1.20
"game software",2.80,2.60,NULL
Laser,2.80,NULL,NULL
"Department stores",2.70,4.80,3.20
"Hair products",2.70,2.80,2.90
Travel,2.70,2.80,2.60
"Columbia Sportswear",2.70,2.30,2.30
Sunglasses,2.70,2.80,2.20
"Power equipment",2.70,3.60,2.00
"Contact Lens",2.70,1.80,1.50
"Oilfield equipment",2.70,2.90,1.10
"Washington Commanders",2.60,4.00,4.90
"Finance and investments",2.60,2.80,3.30
"Copy machines",2.60,2.10,2.70
"Payroll software",2.60,2.80,2.60
"IT consulting",2.60,1.50,2.50
Cruises,2.60,3.00,2.80
"Solar energy",2.60,2.90,1.10
metallurgy,2.60,NULL,NULL
"Food services",2.50,6.50,8.20
"3D printing",2.50,2.40,2.70
"Auto repair",2.50,2.40,2.50
SAP,2.50,2.30,2.20
"Education technology",2.50,3.60,2.10
"Edible oil",2.50,2.30,2.10
"orange juice",2.50,1.90,NULL
"Solar equipment",2.40,8.70,6.30
"Sports retailing",2.40,4.50,4.80
"Transport  engineering",2.40,NULL,3.20
"Hair care products",2.40,3.00,3.00
"Automotive brakes",2.40,2.10,2.90
Magazines,2.40,2.70,2.60
