Business,2021_total,2022_total,2023_total
"Food and beverage retailing",NULL,1.20,1.20
Hospitality,NULL,NULL,1.20
"Medical services",NULL,1.30,1.20
"Data management",NULL,1.10,1.20
Lumber,NULL,NULL,1.20
"Car rentals",NULL,2.60,2.40
"Pneumatic equipments",NULL,NULL,1.20
"Sports shoes",NULL,NULL,1.10
Spanx,NULL,1.10,1.10
"E-commerce software",NULL,2.00,1.10
Building,NULL,NULL,1.10
"Pachinko machines",NULL,NULL,2.10
"Waste management",NULL,NULL,1.10
"Sports data",NULL,1.20,1.10
"Internet and software",NULL,1.10,1.10
Golf,NULL,NULL,1.10
Vitamins,NULL,NULL,1.10
"Cables and wires",NULL,1.50,2.10
"Online universities",NULL,NULL,1.00
Basketball,NULL,NULL,1.00
Power,NULL,NULL,1.00
"Hydraulic pumps",NULL,NULL,1.00
"Hot sauce",NULL,NULL,1.00
"online marketplace",NULL,4.40,NULL
edtech,NULL,1.30,NULL
drugs,NULL,1.30,NULL
"lighting installations",NULL,1.30,NULL
foods,NULL,1.20,NULL
"food manufacturing",NULL,1.20,NULL
microbiology,NULL,1.20,NULL
cashmere,NULL,1.10,NULL
"graphite electrodes",NULL,1.00,NULL
cameras,NULL,1.00,NULL
"pharma retailing",NULL,1.00,NULL
garments,NULL,1.00,NULL
"manda brokerage",NULL,NULL,NULL
"rolling papers",NULL,NULL,NULL
broadcasting,NULL,NULL,NULL
"tea drinks",NULL,NULL,NULL
"electric systems",NULL,NULL,NULL
Cinemas,NULL,NULL,NULL
"payments  banking",NULL,NULL,NULL
"financial information service",NULL,NULL,NULL
"blood testing",NULL,NULL,NULL
"Auto components",NULL,NULL,NULL
Sourcing,NULL,NULL,NULL
"Financial software",NULL,NULL,NULL
"Raising Cane's",NULL,NULL,NULL
Shein,NULL,NULL,NULL
"Drug delivery devices",NULL,NULL,NULL
firearms,NULL,NULL,NULL
"supply chain services",NULL,NULL,NULL
"Arca Continental",NULL,NULL,NULL
"Manchester United",NULL,NULL,NULL
"Air conditioning parts",NULL,NULL,NULL
"Kansas City Chiefs",NULL,NULL,NULL
baseball,NULL,NULL,NULL
"Tableau software",NULL,NULL,NULL
"Palo Alto software",NULL,NULL,NULL
Robots,NULL,NULL,NULL
"home appliance stores",NULL,NULL,NULL
Seaport,NULL,NULL,NULL
Loews,NULL,NULL,NULL
Peugeot,NULL,NULL,NULL
"Electrical components",NULL,NULL,NULL
"indian snacks",NULL,NULL,NULL
"Military drones",NULL,NULL,NULL
"Enterprise software+K3471",NULL,NULL,NULL
"Rewards firm",NULL,NULL,NULL
"Law and Order TV",NULL,NULL,NULL
AI,NULL,NULL,NULL
GoPro,NULL,NULL,NULL
"Yindu Kitchen Equipment",NULL,NULL,NULL
"electronic vehicals",NULL,NULL,NULL
"payment service",NULL,NULL,NULL
"power generation",NULL,NULL,NULL
pasta,NULL,NULL,NULL
AMD,NULL,NULL,NULL
Nvidia,NULL,NULL,NULL
Lenovo,NULL,NULL,NULL
Qualcomm,NULL,NULL,NULL
Comedy,NULL,NULL,NULL
"Jersey Mike's Subs",NULL,NULL,NULL
Fragrances,NULL,NULL,NULL
"Gold and Jewelry",NULL,NULL,NULL
"printed circuit board",NULL,NULL,NULL
