ID;User_ID;Table_rank_2024_12;Person;net_worth_inBillionUSD_2024_12;Age_of_person_2024_12;Date
1;2;1;Elon Musk;424.5;53;2024-12-31
2;3;2;Jeff Bezos;235.2;60;2024-12-31
3;4;3;Larry Ellison;210.1;80;2024-12-31
4;16;4;Mark Zuckerberg;204.2;40;2024-12-31
5;1;5;Bernard Arnault;168.8;75;2024-12-31
6;12;6;Larry Page;156.8;51;2024-12-31
7;14;7;Sergey Brin;149.7;51;2024-12-31
8;5;8;Warren Buffett;141.3;94;2024-12-31
9;10;9;Steve Ballmer;124.7;68;2024-12-31
10;76;10;Jensen Huang;118.3;61;2024-12-31
11;13;11;Amancio Ortega;116.8;88;2024-12-31
12;23;12;Michael Dell;116.2;59;2024-12-31
13;20;13;Rob Walton;108.9;80;2024-12-31
14;19;14;Jim Walton;107.6;76;2024-12-31
15;7;15;Michael Bloomberg;104.7;82;2024-12-31
16;6;16;Bill Gates;103.3;69;2024-12-31
17;21;17;Alice Walton;99.9;75;2024-12-31
18;9;18;Mukesh Ambani;94.2;67;2024-12-31
19;8;19;Carlos Slim Helu;77.7;84;2024-12-31
20;18;20;Julia Koch;74.2;62;2024-12-31
21;11;21;Francoise Bettencourt Meyers;73.6;71;2024-12-31
22;22;22;David Thomson;69;67;2024-12-31
23;17;23;Charles Koch;67.5;89;2024-12-31
24;164;24;Changpeng Zhao;66.3;47;2024-12-31
25;24;25;Gautam Adani;62.5;62;2024-12-31
26;15;26;Zhong Shanshan;54;70;2024-12-31
27;57;27;Thomas Peterffy;53.2;80;2024-12-31
28;50;28;Stephen Schwarzman;50.8;77;2024-12-31
29;48;29;Jeff Yass;49.6;66;2024-12-31
30;39;30;Tadashi Yanai;48.1;75;2024-12-31
31;36;31;Ken Griffin;45.7;56;2024-12-31
32;26;32;Zhang Yiming;45.6;41;2024-12-31
33;34;33;Ma Huateng;45.1;53;2024-12-31
34;495;34;Prajogo Pangestu;43.3;80;2024-12-31
35;32;35;John Mars;43.1;89;2024-12-31
36;31;35;Jacqueline Mars;43.1;85;2024-12-31
37;55;37;Shiv Nadar;41.5;79;2024-12-31
38;30;38;Giovanni Ferrero;41.5;60;2024-12-31
39;41;39;Alain Wertheimer;41.4;76;2024-12-31
40;42;39;Gerard Wertheimer;41.4;73;2024-12-31
41;38;41;Robin Zeng;38.4;55;2024-12-31
42;94;42;Savitri Jindal;38.2;74;2024-12-31
43;74;43;Lukas Walton;37.7;38;2024-12-31
44;37;44;Mark Mateschitz;37.6;32;2024-12-31
45;29;45;Klaus-Michael Kuehne;36.1;87;2024-12-31
46;72;46;Abigail Johnson;36.1;63;2024-12-31
47;33;47;Li Ka-shing;35.7;96;2024-12-31
48;46;48;Reinhold Wuerth;34.7;89;2024-12-31
49;35;49;Miriam Adelson;34.6;79;2024-12-31
50;25;50;Phil Knight;34.5;86;2024-12-31
51;45;51;Colin Huang;34.2;44;2024-12-31
52;44;52;Rafaela Aponte-Diamant;32.4;79;2024-12-31
53;43;52;Gianluigi Aponte;32.4;84;2024-12-31
54;171;54;Eduardo Saverin;32.4;42;2024-12-31
55;60;55;MacKenzie Scott;31.2;54;2024-12-31
56;69;56;Masayoshi Son;30.6;67;2024-12-31
57;52;57;Gina Rinehart;30;70;2024-12-31
58;109;58;Dilip Shanghvi;29.9;69;2024-12-31
59;384;59;Melinda French Gates;29.9;60;2024-12-31
60;53;60;William Ding;29.4;53;2024-12-31
61;27;61;Dieter Schwarz;29.3;85;2024-12-31
62;73;62;Leonid Mikhelson;29.1;69;2024-12-31
63;3747;63;Lyndal Stephens Greth;28.7;50;2024-12-31
64;47;64;Lee Shau Kee;28.4;96;2024-12-31
65;40;65;Len Blavatnik;28.4;67;2024-12-31
66;3148;66;Elaine Marshall;28.3;82;2024-12-31
67;56;67;Low Tuck Kwong;28.2;76;2024-12-31
68;64;68;He Xiangjian;27.9;82;2024-12-31
69;187;69;Lei Jun;27.8;55;2024-12-31
70;70;70;Vladimir Lisin;26.6;68;2024-12-31
71;80;71;Vagit Alekperov;26.5;74;2024-12-31
72;54;72;German Larrea Mota Velasco;26.2;71;2024-12-31
73;3147;73;Andrea Pignataro;26.1;54;2024-12-31
74;84;74;Eyal Ofer;25.8;74;2024-12-31
75;102;75;Eric Schmidt;25.7;69;2024-12-31
76;79;76;Alexey Mordashov;25.4;59;2024-12-31
77;3008;77;Thomas Frist Jr;24.9;86;2024-12-31
78;61;78;R. Budi Hartono;24;84;2024-12-31
79;89;79;Gennady Timchenko;23.9;72;2024-12-31
80;62;80;Vladimir Potanin;23.7;63;2024-12-31
81;65;81;Iris Fontbona;23.6;82;2024-12-31
82;96;82;John Menard Jr;23.6;84;2024-12-31
83;63;83;Jack Ma;23.6;60;2024-12-31
84;71;84;Emmanuel Besnier;23.2;54;2024-12-31
85;282;85;Henry Samueli;23.2;70;2024-12-31
86;233;86;Andreas von Bechtolsheim;23.1;69;2024-12-31
87;66;87;Michael Hartono;23.1;85;2024-12-31
88;97;88;Rupert Murdoch;22.5;93;2024-12-31
89;68;89;Cyrus Poonawalla;21.9;83;2024-12-31
90;128;90;Diane Hendricks;21.9;77;2024-12-31
91;90;91;Daniel Gilbert;21.5;62;2024-12-31
92;88;92;David Tepper;21.3;67;2024-12-31
93;59;93;Stefan Quandt;21.3;58;2024-12-31
94;92;94;Steve Cohen;21.3;68;2024-12-31
95;121;95;Kumar Birla;21.2;57;2024-12-31
96;51;96;Susanne Klatten;21.2;62;2024-12-31
97;86;97;Wang Chuanfu;20.9;58;2024-12-31
98;28;98;Francois Pinault;20.6;88;2024-12-31
99;78;99;Takemitsu Takizaki;19.5;79;2024-12-31
100;381;100;Henry Nicholas III.;18.9;65;2024-12-31
101;95;101;Donald Bren;18.9;92;2024-12-31
102;87;102;Harold Hamm;18.5;79;2024-12-31
103;232;103;Manuel Villar;18.4;75;2024-12-31
104;173;104;Christy Walton;18.3;75;2024-12-31
105;179;105;Vinod Adani;18.2;75;2024-12-31
106;248;106;Kushal Pal Singh;18.1;93;2024-12-31
107;103;107;Michael Platt;18;56;2024-12-31
108;247;108;George Roberts;17.6;81;2024-12-31
109;112;109;Huang Shilin;17.6;58;2024-12-31
110;229;110;Ravi Jaipuria;17.5;70;2024-12-31
111;2623;111;Vicky Safra;17.3;71;2024-12-31
112;99;112;Renata Kellnerova;17.2;57;2024-12-31
113;227;113;Leon Black;17.1;73;2024-12-31
114;124;114;Idan Ofer;17.1;69;2024-12-31
115;144;115;Stephen Ross;17;84;2024-12-31
116;136;116;Stanley Kroenke;16.9;77;2024-12-31
117;210;117;David Cheriton;16.9;73;2024-12-31
118;2614;118;Philip Anschutz;16.9;85;2024-12-31
119;58;119;Andrey Melnichenko;16.8;52;2024-12-31
120;130;120;Jerry Jones;16.7;82;2024-12-31
121;221;121;Dustin Moskovitz;16.5;40;2024-12-31
122;129;122;Jan Koum;16.4;48;2024-12-31
123;110;123;Robert Pera;16.3;46;2024-12-31
124;101;124;Stefan Persson;16.2;77;2024-12-31
125;374;125;John Tu;16.1;83;2024-12-31
126;372;126;David Sun;16.1;73;2024-12-31
127;142;127;Laurene Powell Jobs;16.1;61;2024-12-31
128;133;128;Lu Xiangyang;16;62;2024-12-31
129;131;129;George Kaiser;16;82;2024-12-31
130;82;130;Eric Li;15.9;61;2024-12-31
131;297;131;Henry Kravis;15.9;80;2024-12-31
132;67;132;James Ratcliffe;15.7;71;2024-12-31
133;3012;133;Ernest Garcia II.;15.7;67;2024-12-31
134;111;134;Radhakishan Damani;15.6;70;2024-12-31
135;209;135;Eric Smidt;15.6;65;2024-12-31
136;145;136;Pavel Durov;15.5;40;2024-12-31
137;91;137;Lakshmi Mittal;15.5;74;2024-12-31
138;3102;138;Andrew Forrest;15.5;63;2024-12-31
139;134;139;Harry Triguboff;15.5;91;2024-12-31
140;75;140;Wang Wei;15.5;54;2024-12-31
141;106;141;Beate Heister;15.4;74;2024-12-31
142;105;141;Karl Albrecht Jr;15.4;77;2024-12-31
143;127;143;John Fredriksen;15.3;79;2024-12-31
144;166;144;Mike Cannon-Brookes;15.3;45;2024-12-31
145;138;145;Sarath Ratanavadi;15.1;59;2024-12-31
146;85;146;Qin Yinglin;15.1;59;2024-12-31
147;219;147;John Doerr;15;73;2024-12-31
148;664;148;Peter Thiel;14.9;57;2024-12-31
149;174;149;Scott Farquhar;14.9;45;2024-12-31
150;180;150;Nicolas Puech;14.9;81;2024-12-31
151;113;151;Dhanin Chearavanont;14.7;85;2024-12-31
152;160;152;Donald Newhouse;14.6;95;2024-12-31
153;265;153;Nancy Walton Laurie;14.6;73;2024-12-31
154;119;154;Alisher Usmanov;14.5;71;2024-12-31
155;139;155;Dang Yanbao;14.3;51;2024-12-31
156;2625;156;Edward Johnson IV.;14.2;60;2024-12-31
157;150;157;Israel Englander;14.2;76;2024-12-31
158;168;158;David Duffield;14.1;84;2024-12-31
159;81;159;Ray Dalio;14;75;2024-12-31
160;230;160;Hasso Plattner;13.9;80;2024-12-31
161;107;161;Jorge Paulo Lemann;13.8;85;2024-12-31
162;98;162;Theo Albrecht Jr;13.7;74;2024-12-31
163;157;163;Zhang Zhidong;13.5;53;2024-12-31
164;137;164;Mikhail Fridman;13.5;60;2024-12-31
165;274;165;Qi Shi;13.3;54;2024-12-31
166;135;166;Uday Kotak;13.3;65;2024-12-31
167;141;167;Shahid Khan;13.3;74;2024-12-31
168;100;168;Li Xiting;13.2;74;2024-12-31
169;202;169;James Dyson;13.2;77;2024-12-31
170;132;170;Joseph Lau;13.2;73;2024-12-31
171;158;171;Judy Love;13.1;87;2024-12-31
172;240;172;Zheng Shuliang;13;78;2024-12-31
173;108;173;Peter Woo;12.7;78;2024-12-31
174;270;174;Georg Stumpf;12.7;52;2024-12-31
175;510;175;Barry Lam;12.6;75;2024-12-31
176;433;176;Antony Ressler;12.6;64;2024-12-31
177;235;177;Ann Walton Kroenke;12.5;76;2024-12-31
178;118;178;Wei Jianjun;12.5;60;2024-12-31
179;123;179;Kwong Siu-hing;12.5;95;2024-12-31
180;165;180;Andrew Beal;12.4;72;2024-12-31
181;308;181;Anders Holch Povlsen;12.3;52;2024-12-31
182;190;182;Rick Cohen;12.3;72;2024-12-31
183;311;183;Arthur Dantchik;12.3;67;2024-12-31
184;259;184;Patrick Ryan;12.3;87;2024-12-31
185;207;185;Azim Premji;12.3;79;2024-12-31
186;200;186;Wang Xing;12.2;45;2024-12-31
187;493;187;Elizabeth Johnson;12.2;61;2024-12-31
188;407;188;Lin Muqin;12.1;61;2024-12-31
189;335;189;J. Christopher Reyes;12;71;2024-12-31
190;336;189;Jude Reyes;12;69;2024-12-31
191;154;191;Giorgio Armani;12;90;2024-12-31
192;115;192;Charoen Sirivadhanabhakdi;11.9;80;2024-12-31
193;620;193;Mangal Prabhat Lodha;11.9;69;2024-12-31
194;2619;194;Robert Kraft;11.8;83;2024-12-31
195;1635;195;Robert Duggan;11.8;80;2024-12-31
196;416;196;Sunil Mittal;11.7;67;2024-12-31
197;276;197;Zhang Congyuan;11.7;77;2024-12-31
198;143;198;Robert Kuok;11.6;101;2024-12-31
