"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Gordon Wu",1980,"male","China","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Xiong Wu",1981,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xu Zhenhua",1982,"male","China","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Xu Zhihan",1983,"male","China","1.10","1.30","1.30","1.10","1.10","1.00",NULL,NULL,"1.20","1.20","1.20","1.10"
"Tingdong Yang",1984,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Michael Minhong Yu",1985,"male","China","2.30","2.60","2.40","2.20","2.30","2.20","1.90","1.90","2.20","1.90","1.90","2.00"
"Justin Yuan",1986,"male","China","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Zhang Bangxin",1987,"male","China","2.20","2.90","2.30","2.40","2.30","2.20","2.10","1.70","2.40","2.20","2.00","2.00"
"Zhang Hong",1988,"female","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhou Zongwen",1989,"male","China","1.50","1.70","1.80","1.50","1.60","1.30","1.20","1.10","1.30","1.10","1.30","1.40"
"Antti Aarnio-Wihuri",1990,"male","Finland","1.50","1.40","1.50","1.50","1.50","1.50","1.60","1.60","1.60","1.60","1.60","1.50"
"Alberto Alcocer",1991,"male","Spain","1.40","1.30","1.30","1.20","1.30","1.30","1.30","1.30","1.40","1.40","1.30","1.30"
"Nigel Austin",1992,"male","Australia","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.30","1.30","1.20","1.20","1.20"
"Binny Bansal",1993,"male","Singapore","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.40","1.40","1.40","1.40","1.40"
"Girdhari Lal Bawri",1994,"male","India","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90"
"John Bloor",1995,"male","UK","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.50","1.50","1.50"
"Vladimir Bogdanov",1996,"male","Russia","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Amit Burman",1997,"male","India","1.50","1.50","1.50","1.40","1.50","1.70","1.70","1.70","1.70","1.50","1.50","1.40"
"Cai Jianyong",1998,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Steve Case",1999,"male","USA","1.50","1.50","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40"
"Chen Wenyuan",2000,"male","China",NULL,"1.10","1.00","1.00",NULL,NULL,NULL,NULL,"1.30","1.30","1.30","1.10"
"Chua Thian Poh",2001,"male","Singapore","1.10","1.10","1.10","1.20","1.20","1.20","1.20","1.20","1.30","1.20","1.20","1.20"
"Sasson Dayan",2002,"male","Brazil","1.50","1.70","1.70","1.70","1.60","1.60","1.50","1.50","1.60","1.50","1.50","1.40"
