"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Bernard Arnault",1,"male","France","212.00","229.60","226.60","209.40","201.60","193.70","179.50","189.70","195.50","169.30","160.40","168.80"
"Elon Musk",2,"male","USA","198.40","210.00","195.30","199.60","210.30","221.40","240.70","243.70","270.50","263.80","330.10","424.50"
"Jeff Bezos",3,"male","USA","193.80","197.70","198.40","193.30","194.70","210.20","204.80","197.00","204.30","204.30","223.30","235.20"
"Larry Ellison",4,"male","USA","143.70","139.90","155.20","142.80","146.20","173.00","172.60","174.70","208.00","204.80","226.90","210.10"
"Warren Buffett",5,"male","USA","128.70","134.70","138.60","131.00","137.00","128.40","138.30","149.90","144.90","142.00","150.60","141.30"
"Bill Gates",6,"male","USA","124.00","128.10","131.30","127.00","129.40","133.40","130.90","137.20","107.90","102.80","107.20","103.30"
"Michael Bloomberg",7,"male","USA","96.30","106.20","106.20","106.20","106.20","106.20","104.70","104.70","104.70","104.00","104.70","104.70"
"Carlos Slim Helu",8,"male","Mexico","100.00","101.40","102.50","99.70","98.60","91.20","89.30","87.10","87.00","84.60","80.60","77.70"
"Mukesh Ambani",9,"male","India","112.10","114.40","116.60","115.80","112.40","122.00","116.50","116.40","116.20","104.60","101.60","94.20"
"Steve Ballmer",10,"male","USA","120.50","122.80","124.50","117.10","123.20","130.70","124.00","122.50","125.50","121.00","124.80","124.70"
"Francoise Bettencourt Meyers",11,"female","France","98.10","96.90","96.00","95.40","99.10","89.50","88.40","89.80","91.80","77.00","72.40","73.60"
"Larry Page",12,"male","USA","119.30","116.30","126.00","135.40","142.90","150.30","142.20","136.10","137.90","142.10","140.40","156.80"
"Amancio Ortega",13,"male","Spain","100.10","102.90","113.90","105.50","108.10","112.40","110.40","121.50","133.00","127.60","123.90","116.80"
"Sergey Brin",14,"male","USA","114.40","111.80","121.10","129.90","136.90","143.90","136.10","130.40","132.00","135.90","134.30","149.70"
"Zhong Shanshan",15,"male","China","60.40","65.90","62.50","67.30","61.80","56.00","48.40","47.50","56.20","48.20","53.20","54.00"
"Mark Zuckerberg",16,"male","USA","167.20","172.50","170.30","151.20","163.80","176.80","166.60","180.50","198.00","196.30","198.70","204.20"
"Charles Koch",17,"male","USA","54.90","55.70","58.50","60.00","59.70","59.60","67.80","67.50","67.50","67.00","67.50","67.50"
"Julia Koch",18,"female","USA","60.20","61.00","64.30","66.00","65.60","65.50","74.60","74.20","74.20","74.00","74.20","74.20"
"Jim Walton",19,"male","USA","70.00","76.90","78.40","77.60","83.70","85.60","87.80","95.90","98.70","99.80","109.70","107.60"
"Rob Walton",20,"male","USA","69.20","76.00","77.40","76.60","82.60","84.40","86.40","94.30","99.90","101.00","110.90","108.90"
